LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
Pennsylvania,38.2,35.3,41.1,1914,"$75,000 or greater","$75,000 or greater",6
Oregon,32.9,27.3,39,366,"Less than $15,000","Less than $15,000",1
Vermont,36.2,33.2,39.4,1691,"$75,000 or greater","$75,000 or greater",6
Tennessee,32,27.7,36.6,769,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,33.6,27.3,40.6,559,"Less than $15,000","Less than $15,000",1
Rhode Island,41.4,37,45.9,849,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,28.9,23.3,35.3,376,"Less than $15,000","Less than $15,000",1
Vermont,38.1,31.7,45,497,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,34.8,30.3,39.6,1063,"$50,000 - $74,999","$50,000 - $74,999",5
California,33.4,30.6,36.5,1773,"$75,000 or greater","$75,000 or greater",6
Louisiana,32.5,27.4,38.1,462,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,37,33.3,40.8,1132,"$75,000 or greater","$75,000 or greater",6
Nebraska,33.6,29.9,37.4,1282,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,28.2,21.6,35.9,332,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,28.1,22.1,34.8,401,"Less than $15,000","Less than $15,000",1
Michigan,27.5,23.3,32.1,702,"Less than $15,000","Less than $15,000",1
Vermont,29.8,24.3,35.9,556,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,35.9,32.3,39.6,1021,"$50,000 - $74,999","$50,000 - $74,999",5
California,38.4,36.4,40.5,3852,"$75,000 or greater","$75,000 or greater",6
Louisiana,32.8,27.9,38,524,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,36.7,32.9,40.5,1149,"$75,000 or greater","$75,000 or greater",6
Nebraska,31.6,28.1,35.4,1390,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,36,28.6,44.1,292,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,32.7,26.7,39.3,420,"Less than $15,000","Less than $15,000",1
Washington,34.3,30.1,38.6,956,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,38,32.5,43.7,1455,"$25,000 - $34,999","$25,000 - $34,999",3
North Carolina,39.7,34.6,45,513,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,31.6,25.9,37.9,445,"Less than $15,000","Less than $15,000",1
